word	pronunciation1	pronunciation2	region	state	majority	minority
caramel		carra-mel	east	florida		minority
caramel		carra-mel	east	south carolina		minority
caramel		carra-mel	east	maine		minority
caramel	car-ml		west	wisconsin	majority	
caramel	car-ml		west	michigan	majority	
caramel	car-ml		west	washington	majority	
mayonnaise		may-uh-naze	west	montana	majority	
mayonnaise		may-uh-naze	west	wisconsin	majority	
mayonnaise		may-uh-naze	west	utah	majority	
mayonnaise	man-aze		east	south carolina		minority
mayonnaise	man-aze		east	georgia		minority
mayonnaise	man-aze		east	mississippi		minority
pecan		pee-kahn	west	wisconsin	majority	
pecan		pee-kahn	west	montana	majority	
pecan		pee-kahn	west	california	majority	
pecan	pee-can		east	new york		minority
pecan	pee-can		east	maine		minority
pecan	pee-can		east	vermont		minority
syrup		sir-up	west	montana	majority	
syrup		sir-up	west	wisconsin	majority	
syrup		sir-up	west	california	majority	
syrup	sear-up		east	pennsylvania		minority
syrup	sear-up		east	new jersey		minority
syrup	sear-up		east	connecticut		minority
pajamas		pa-jam-mas	west	wisconsin	majority	
pajamas		pa-jam-mas	west	minnesota	majority	
pajamas		pa-jam-mas	west	washington	majority	
pajamas	pa-jah-mas		east	florida		minority
pajamas	pa-jah-mas		east	maine		minority
pajamas	pa-jah-mas		east	north carolina		minority